Player,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College
Jerome Jordan,Jamaica,Black and White,2012,2015,C,7-0,253,"September 29, 1986",University of Tulsa
Michael Jordan*,New York,Black,1985,2003,G-F,6-6,195,"February 17, 1963",University of North Carolina
Reggie Jordan,Illinois,Black,1994,2000,G,6-4,195,"January 26, 1968",New Mexico State University
Thomas Jordan,Maryland,Black,1993,1993,F-C,6-10,220,"May 23, 1968",Oklahoma State University
Cory Joseph,Canada,Black and White,2012,2016,G,6-3,190,"August 20, 1991",University of Texas at Austin
Garth Joseph,Dominica,Black,2001,2001,C,7-2,315,"August 8, 1973",College of Saint Rose
Kris Joseph,Canada,Black,2013,2013,F,6-7,210,"December 17, 1988",Syracuse University
Yvon Joseph,Haiti,Black,1986,1986,C,6-11,245,"October 31, 1957",Georgia Institute of Technology
Chris Kaman,Michigan,White,2004,2016,C,7-0,265,"April 28, 1982",Central Michigan University
Frank Kaminsky,Illinois,White,2016,2016,F-C,7-0,242,"April 4, 1993",University of Wisconsin
Enes Kanter,Switzerland,White,2012,2016,C,6-11,245,"May 20, 1992",
Jason Kapono,California,Black and White,2004,2012,F,6-8,213,"February 4, 1981","University of California, Los Angeles"
Sergey Karasev,Russian Federation,White,2014,2016,G-F,6-7,208,"October 26, 1993",
Coby Karl,Montana,White,2008,2010,G,6-5,215,"March 6, 1983",Boise State University
Mario Kasun,Croatia,White,2005,2006,C,7-1,260,"April 5, 1980",
Sasha Kaun,Russian Federation,White,2016,2016,C,6-11,260,"May 8, 1985",University of Kansas
Adam Keefe,California,White,1993,2001,F,6-9,230,"February 22, 1970",Stanford University
Harold Keeling,Louisiana,Black,1986,1986,G,6-4,185,"September 18, 1963",Santa Clara University
Rich Kelley,California,White,1976,1986,C-F,7-0,235,"March 23, 1953",Stanford University
Clark Kellogg,Ohio,Black and White,1983,1987,F,6-7,225,"July 2, 1961",Ohio State University
Ryan Kelly,New York,White,2014,2016,F,6-11,230,"April 9, 1991",Duke University
Greg Kelser,Florida,Black,1980,1985,F,6-7,190,"September 17, 1957",Michigan State University
Shawn Kemp,Indiana,Black,1990,2003,F-C,6-10,230,"November 26, 1969",Trinity Valley Community College
Tim Kempton,New York,White,1987,1998,F-C,6-10,245,"January 25, 1964",University of Notre Dame
D.J. Kennedy,Pennsylvania,Black and White,2012,2012,F,6-6,215,"November 5, 1989",St. John's University
Jonathan Kerner,Georgia,White,1999,1999,C,6-11,245,"June 6, 1974",East Carolina University
Steve Kerr,Lebanon,Others,1989,2003,G,6-3,175,"September 27, 1965",University of Arizona
Jerome Kersey,Virginia,Black,1985,2001,F,6-7,215,"June 26, 1962",Longwood University
Alec Kessler,Minisota,White,1991,1994,F-C,6-11,230,"January 13, 1967",University of Georgia
Lari Ketner,Pennsylvania,Black and White,2000,2001,F-C,6-9,277,"February 1, 1977",University of Massachusetts Amherst
Randolph Keys,Mississippi,Black,1989,1996,F-G,6-7,195,"April 19, 1966",University of Southern Mississippi
Viktor Khryapa,Ukraine,White,2005,2008,F,6-9,210,"August 3, 1982",
Jason Kidd,California,Black and White,1995,2013,G,6-4,205,"March 23, 1973",University of California
Warren Kidd,Alabama,Black,1994,1994,F,6-9,235,"September 9, 1970",Middle Tennessee State University
Michael Kidd-Gilchrist,Pennsylvania,Black,2013,2016,F,6-7,232,"September 26, 1993",University of Kentucky
Sean Kilpatrick,New York,Black and White,2015,2016,G,6-4,210,"January 6, 1990",University of Cincinnati
Bo Kimble,Pennsylvania,Black and White,1991,1993,G,6-4,190,"April 9, 1966",Loyola Marymount University
Stan Kimbrough,Alabama,Black,1990,1993,G,5-11,153,"April 24, 1966",Xavier University
Albert King,New York,Black,1982,1992,F-G,6-6,190,"December 17, 1959",University of Maryland
Bernard King*,New York,Black,1978,1993,F,6-7,205,"December 4, 1956",University of Tennessee
Chris King,North Carolina,Black,1994,1999,F,6-8,215,"July 24, 1969",Wake Forest University
Frankie King,Georgia,White,1996,1997,G,6-1,185,"June 6, 1972",Western Carolina University
Gerard King,Louisiana,Black and White,1999,2001,F,6-9,230,"November 25, 1972",Nicholls State University
Jimmy King,Indiana,Black,1996,1997,G,6-5,210,"August 9, 1973",University of Michigan
Reggie King,Alabama,White,1980,1985,F,6-6,225,"February 14, 1957",University of Alabama
Rich King,Nebraska,Black and White,1992,1995,C,7-2,260,"April 4, 1969",University of Nebraska
Stacey King,Oklahoma,Black,1990,1997,F-C,6-11,230,"January 29, 1967",University of Oklahoma
Tarence Kinsey,Florida,Black and White,2007,2009,G,6-6,185,"March 21, 1984",University of South Carolina
Andrei Kirilenko,Russia,White,2002,2015,F,6-9,220,"February 18, 1981",
Alex Kirk,New mexico,Black and White,2015,2015,C,7-0,245,"November 14, 1991",University of New Mexico
Curtis Kitchen,Florida,Black,1987,1987,F,6-9,235,"January 30, 1964",University of South Florida
Greg Kite,Teaxas,White,1984,1995,C,6-11,250,"August 5, 1961",Brigham Young University
Kerry Kittles,Ohio,Black and White,1997,2005,G,6-5,179,"June 12, 1974",Villanova University
Joe Kleine,Colorado,White,1986,2000,C,6-11,255,"January 4, 1962",University of Arkansas
Linas Kleiza,Lithuania,White,2006,2013,F,6-8,245,"January 3, 1985",University of Missouri
Billy Knight,Pennsylvania,Black,1975,1985,G-F,6-6,195,"June 9, 1952",University of Pittsburgh
Brandin Knight,New Jersey,Black,2005,2005,G,6-0,180,"December 16, 1981",University of Pittsburgh
Brandon Knight,Florida,Black,2012,2016,G,6-3,189,"December 2, 1991",University of Kentucky
Brevin Knight,New Jersey,Black,1998,2009,G,5-10,173,"November 8, 1975",Stanford University
Negele Knight,Michigan,Black and White,1991,1999,G,6-1,175,"March 6, 1967",University of Dayton
Travis Knight,Utah,White,1997,2003,C,7-0,235,"September 13, 1974",University of Connecticut
Bart Kofoed,Nebraska,Black,1988,1993,G,6-4,210,"March 24, 1964",University of Nebraska at Kearney
Jon Koncak,Iowa,White,1986,1996,C-F,7-0,250,"May 17, 1963",Southern Methodist University
Joe Kopicki,Michigan,Black and White,1983,1985,F,6-9,240,"June 12, 1960",University of Detroit Mercy
Frank Kornet,Kentucky,White,1990,1991,F,6-9,225,"January 27, 1967",Vanderbilt University
Yaroslav Korolev,Russia,White,2006,2007,F,6-9,203,"May 7, 1987",
Kyle Korver,California,White,2004,2016,G-F,6-7,212,"March 17, 1981",Creighton University
Kosta Koufos,Ohio,White,2009,2016,C,7-0,265,"February 24, 1989",Ohio State University
Viacheslav Kravtsov,Ukraine,White,2013,2014,C,7-0,260,"August 25, 1987",
Nenad Krstic,Serbia,White,2005,2011,C,7-0,240,"July 25, 1983",
Larry Krystkowiak,Montana,Others,1987,1997,F-C,6-9,220,"September 23, 1964",University of Montana
Toni Kukoc,Croatia,White,1994,2006,F,6-10,192,"September 18, 1968",
Mitch Kupchak,New York,White,1977,1986,F-C,6-9,230,"May 24, 1954",University of North Carolina
Rob Kurz,Pennsylvania,White,2009,2009,F,6-9,232,"March 5, 1985",University of Notre Dame
Ibo Kutluay,Turkey,Others,2005,2005,G,6-6,200,"July 1, 1974",
Ognjen Kuzmic,Bosnia and Herzegovina,White,2014,2015,C,7-1,251,"May 16, 1990",
Christian Laettner,New York,Black and White,1993,2005,F-C,6-11,235,"August 17, 1969",Duke University
Oliver Lafayette,Louisiana,Black,2010,2010,G,6-2,190,"May 6, 1984",University of Houston
Raef LaFrentz,Iowa,White,1999,2008,F-C,6-11,240,"May 29, 1976",University of Kansas
Tom LaGarde,Michigan,White,1978,1985,C-F,6-10,220,"February 10, 1955",University of North Carolina
Bill Laimbeer,Massachusetts,White,1981,1994,C,6-11,245,"May 19, 1957",University of Notre Dame
Doron Lamb,New York,Black,2013,2014,G,6-4,210,"November 6, 1991",University of Kentucky
Jeremy Lamb,Virginia,Black,2013,2016,G-F,6-5,185,"May 30, 1992",University of Connecticut
Jeff Lamp,Minnesota,White,1982,1989,F-G,6-6,195,"March 9, 1959",University of Virginia
Maciej Lampe,Poland,White,2004,2006,F,6-11,275,"February 5, 1985",
Jim Lampley,Pennsylvania,White,1987,1987,C,6-10,230,"July 2, 1960",University of Arkansas at Little Rock
Sean Lampley,Illinois,Black,2003,2004,F,6-7,227,"September 3, 1979",University of California
Carl Landry,Wisconsin,Black,2008,2016,F,6-9,248,"September 19, 1983",Purdue University
Marcus Landry,Wisconsin,Black,2010,2010,F,6-7,230,"November 1, 1985",University of Wisconsin
Jerome Lane,Ohio,Black,1989,1993,F,6-6,230,"December 4, 1966",University of Pittsburgh
Andrew Lang,Arkansas,Black,1989,2000,C,6-11,245,"June 28, 1966",University of Arkansas
Antonio Lang,Alabama,Black and White,1995,2000,F-G,6-8,205,"May 15, 1972",Duke University
James Lang,Alabama,Black,2007,2007,C,6-10,285,"October 17, 1983",
Trajan Langdon,California,Black and White,2000,2002,G,6-3,197,"May 13, 1976",Duke University
Keith Langford,Teaxas,Black,2008,2008,G,6-4,215,"September 15, 1983",University of Kansas
Dan Langhi,Illinois,White,2001,2004,F,6-11,220,"November 28, 1977",Vanderbilt University
Shane Larkin,Ohio,Black and White,2014,2016,G,5-11,175,"October 2, 1992",University of Miami
Rusty LaRue,North Carolina,White,1998,2004,G,6-2,210,"December 10, 1973",Wake Forest University
Stephane Lasme,Gabon,Black,2008,2008,F,6-8,215,"December 17, 1982",University of Massachusetts Amherst
Priest Lauderdale,Illinois,Black,1997,1998,C,7-4,325,"August 31, 1973",Central State University
Joffrey Lauvergne,France,White,2015,2016,F,6-11,220,"September 30, 1991",
Zach LaVine,Washington,Black and White,2015,2016,G,6-5,189,"March 10, 1995","University of California, Los Angeles"
Acie Law,Texas,Black and White,2008,2011,G,6-3,195,"January 25, 1985",Texas A&M University
Gani Lawal,Georgia,Black,2011,2011,F,6-9,234,"November 7, 1988",Georgia Institute of Technology
Jason Lawson,Pennsylvania,Black,1998,1998,C,6-11,240,"September 2, 1974",Villanova University
Ty Lawson,Maryland,Black,2010,2016,G,5-11,195,"November 3, 1987",University of North Carolina
Allen Leavell,Indiana,Black and White,1980,1989,G,6-1,170,"May 27, 1957",Oklahoma City University
Jeff Lebo,Pennsylvania,White,1990,1990,G,6-2,180,"October 5, 1966",University of North Carolina
Eric Leckner,California,White,1989,1997,C-F,6-11,265,"May 27, 1966",University of Wyoming
Ricky Ledo,Rhode Island,Black,2014,2015,G,6-7,195,"September 10, 1992",
Courtney Lee,Indiana,Black,2009,2016,G,6-5,200,"October 3, 1985",Western Kentucky University
David Lee,California,White,2006,2016,F,6-9,245,"April 29, 1983",University of Florida
Doug Lee,Illinois,White,1992,1995,G-F,6-5,200,"October 24, 1964",Purdue University
Keith Lee,Arkansas,White,1986,1989,F-C,6-10,215,"December 28, 1962",University of Memphis
Kurk Lee,Maryland,Black,1991,1991,G,6-3,190,"June 3, 1967",Towson University
Malcolm Lee,California,Black,2012,2015,G,6-5,200,"May 22, 1990","University of California, Los Angeles"
Tim Legler,District of Columbia,Black and White,1990,2000,G,6-4,200,"December 26, 1966",La Salle University
Alex Len,Ukraine,White,2014,2016,C,7-1,260,"June 16, 1993",University of Maryland
Voshon Lenard,Michigan,Black,1996,2006,G,6-4,205,"May 14, 1973",University of Minnesota
Gary Leonard,Illinois,Black,1990,1992,C,7-1,250,"February 16, 1967",University of Missouri
Kawhi Leonard,California,Black,2012,2016,F,6-7,230,"June 29, 1991",San Diego State University
Meyers Leonard,Virginia,White,2013,2016,C,7-1,245,"February 27, 1992",University of Illinois at Urbana-Champaign
Jim Les,Illinois,White,1989,1995,G,5-11,165,"August 18, 1963",Bradley University
Travis Leslie,Georgia,Black,2012,2012,G,6-4,205,"March 29, 1990",University of Georgia
Ronnie Lester,Mississippi,Black,1981,1986,G,6-2,175,"January 1, 1959",University of Iowa
Clifford Lett,Florida,Black,1990,1991,G,6-3,170,"December 23, 1965",University of Florida
Jon Leuer,Minnesota,Black and White,2012,2016,F,6-10,228,"May 14, 1989",University of Wisconsin
Fat Lever,Arkansas,Black,1983,1994,G,6-3,170,"August 18, 1960",Arizona State University
Cliff Levingston,California,Black,1983,1995,F,6-8,210,"January 4, 1961",Wichita State University
Cedric Lewis,District of Columbia,Black,1996,1996,F-C,6-10,235,"September 24, 1969",University of Maryland
Martin Lewis,Kansas,Black,1996,1997,F,6-5,210,"April 28, 1975",Seward County Community College
Quincy Lewis,Arkansas,Black,2000,2004,F,6-7,215,"June 26, 1977",University of Minnesota
Ralph Lewis,Pennsylvania,Black and White,1988,1990,G,6-6,200,"March 28, 1963",La Salle University
Rashard Lewis,Louisiana,Black,1999,2014,F,6-10,215,"August 8, 1979",
Reggie Lewis,Maryland,Black,1988,1993,G-F,6-7,195,"November 21, 1965",Northeastern University
Marcus Liberty,Illinois,Black,1991,1994,F,6-8,205,"October 27, 1968",University of Illinois at Urbana-Champaign
Todd Lichti,California,Black,1990,1994,G-F,6-4,205,"January 8, 1967",Stanford University
DeAndre Liggins,Illinois,Black,2012,2014,G,6-6,209,"March 31, 1988",University of Kentucky
Damian Lillard,California,Black,2013,2016,G,6-3,195,"July 15, 1990",Weber State University
Jeremy Lin,California,Others,2011,2016,G,6-3,200,"August 23, 1988",Harvard University
Alton Lister,Texas,Black,1982,1998,C-F,7-0,240,"October 1, 1958",Arizona State University
Randy Livingston,Louisiana,Black,1997,2007,G,6-4,209,"April 2, 1975",Louisiana State University
Shaun Livingston,Illinois,Black and White,2005,2016,G,6-7,182,"September 11, 1985",
Horacio Llamas Grey,Mexico,White,1997,1998,C,6-11,285,"July 17, 1973",Grand Canyon University
Lewis Lloyd,Pennsylvania,Black,1982,1990,G-F,6-6,205,"February 22, 1959",Drake University
Rob Lock,California,Black,1989,1989,F,6-9,225,"May 22, 1966",University of Kentucky
Ian Lockhart,Bahamas,Black,1991,1991,F,6-8,240,"June 25, 1967",University of Tennessee
Brad Lohaus,Minisota,White,1988,1998,F-C,6-11,230,"September 29, 1964",University of Iowa
Art Long,New York,Black,2001,2003,F,6-9,250,"October 1, 1972",University of Cincinnati
Grant Long,Michigan,Black,1989,2003,F,6-8,225,"March 12, 1966",Eastern Michigan University
John Long,Michigan,Black,1979,1997,G-F,6-5,195,"August 28, 1956",University of Detroit Mercy
Luc Longley,Australia,White,1992,2001,C,7-2,265,"January 19, 1969",University of New Mexico
Kevon Looney,Wisconsin,Black,2016,2016,F,6-9,220,"February 6, 1996","University of California, Los Angeles"
Brook Lopez,California,Black and White,2009,2016,C,7-0,275,"April 1, 1988",Stanford University
Felipe Lopez,Dominican Republic,Black,1999,2002,G,6-5,199,"December 19, 1974",St. John's University
Raul Lopez,Spain,White,2004,2005,G,6-1,170,"April 15, 1980",
Robin Lopez,California,Black and White,2009,2016,C,7-0,255,"April 1, 1988",Stanford University
Ryan Lorthridge,Tennessee,White,1995,1995,G,6-4,190,"July 27, 1972",Jackson State University
Kevin Love,California,White,2009,2016,F,6-10,251,"September 7, 1988","University of California, Los Angeles"
Sidney Lowe,District of Columbia,Black,1984,1990,G,6-0,195,"January 21, 1960",North Carolina State University
Kyle Lowry,Pennsylvania,Black,2007,2016,G,6-0,205,"March 25, 1986",Villanova University
John Lucas,North Carolina,Black,1977,1990,G,6-3,175,"October 31, 1953",University of Maryland
Kalin Lucas,Michigan,Black,2015,2015,G,6-1,195,"May 24, 1989",Michigan State University
Maurice Lucas,Pennsylvania,Black,1975,1988,F-C,6-9,215,"February 18, 1952",Marquette University
John Lucas III,District of Columbia,Black,2006,2015,G,5-11,165,"November 21, 1982",Oklahoma State University
Tyronn Lue,Missouri,Black and White,1999,2009,G,6-0,175,"May 3, 1977",University of Nebraska
Trey Lyles,Canada,Black and White,2016,2016,F,6-10,234,"November 5, 1995",University of Kentucky
George Lynch,Virginia,Black,1994,2005,F,6-8,218,"September 3, 1970",University of North Carolina
Kevin Lynch,Minisota,Black,1992,1993,G-F,6-5,195,"December 24, 1968",University of Minnesota
Todd MacCulloch,Canada,White,2000,2003,C,7-0,280,"January 27, 1976",University of Washington
Scott Machado,New York,Black and White,2013,2013,G,6-1,205,"June 8, 1990",Iona College
Arvydas Macijauskas,Lithuania,White,2006,2006,G,6-4,214,"January 19, 1980",
Sam Mack,Illinois,Black and White,1993,2002,F-G,6-7,220,"May 26, 1970",University of Houston
Shelvin Mack,Kentucky,Black and White,2012,2016,G,6-3,203,"April 22, 1990",Butler University
Malcolm Mackey,Tennessee,Black,1994,1994,F-C,6-9,248,"July 11, 1970",Georgia Institute of Technology
Vernon Macklin,Virginia,Black,2012,2012,F,6-10,227,"September 20, 1986",University of Florida
Don MacLean,California,White,1993,2001,F,6-10,235,"January 16, 1970","University of California, Los Angeles"
Mark Macon,Michigan,Black,1992,1999,G,6-4,185,"April 14, 1969",Temple University
Kyle Macy,Indiana,White,1981,1987,G,6-3,175,"April 9, 1957",University of Kentucky
Tito Maddox,California,Black,2003,2003,G,6-4,190,"June 7, 1981","California State University, Fresno"
Gerald Madkins,California,Black,1994,1998,G,6-4,200,"April 18, 1969","University of California, Los Angeles"
Mark Madsen,California,White,2001,2009,F,6-9,240,"January 28, 1976",Stanford University
Corey Maggette,Illinois,Black and White,2000,2013,F,6-6,218,"November 12, 1979",Duke University
Jamaal Magloire,Canada,Black,2001,2012,C,6-11,259,"May 21, 1978",University of Kentucky
Ian Mahinmi,France,Black,2008,2016,C,6-11,250,"November 5, 1986",
Rick Mahorn,Connecticut,Black,1981,1999,C-F,6-10,240,"September 21, 1958",Hampton University
Dan Majerle,Michigan,White,1989,2002,G-F,6-6,215,"September 9, 1965",Central Michigan University
Renaldo Major,Illinois,Black,2007,2007,F,6-7,200,"May 7, 1982","California State University, Fresno"
Jeff Malone,Alabama,Black,1984,1996,G,6-4,205,"June 28, 1961",Mississippi State University
Karl Malone*,Louisiana,Black,1986,2004,F,6-9,250,"July 24, 1963",Louisiana Tech University
Moses Malone*,Virginia,Black,1975,1995,C-F,6-10,215,"March 23, 1955",
Matt Maloney,Maryland,White,1997,2003,G,6-3,192,"December 6, 1971",University of Pennsylvania
Danny Manning,Mississippi,Black,1989,2003,F-C,6-10,230,"May 17, 1966",University of Kansas
Rich Manning,Washington,Black,1996,1997,C,6-11,253,"June 23, 1970",University of Washington
Pace Mannion,Utah,White,1984,1989,G,6-7,190,"September 22, 1960",University of Utah
Devyn Marble,Michigan,Black and White,2015,2016,G-F,6-6,200,"September 21, 1992",University of Iowa
Roy Marble,Michigan,Black and White,1990,1994,G-F,6-6,190,"December 13, 1966",University of Iowa
Stephon Marbury,New York,Black,1997,2009,G,6-2,180,"February 20, 1977",Georgia Institute of Technology
Sarunas Marciulionis*,Lithuania,White,1990,1997,G,6-5,200,"June 13, 1964",
Shawn Marion,Illinois,Black,2000,2015,F,6-7,220,"May 7, 1978","University of Nevada, Las Vegas"
Boban Marjanovic,Russia,White,2016,2016,C,7-3,290,"August 15, 1988",
Damir Markota,Bosnia and Herzegovina,White,2007,2007,C,6-10,225,"December 26, 1985",
Sean Marks,New Zealand,White,1999,2011,F-C,6-10,250,"August 23, 1975",University of California
Donny Marshall,Michigan,Black,1996,2003,F,6-7,230,"July 17, 1972",University of Connecticut
Donyell Marshall,Pennsylvania,Black,1995,2009,F,6-9,218,"May 18, 1973",University of Connecticut
Kendall Marshall,Virginia,Black and White,2013,2016,G,6-4,200,"August 19, 1991",University of North Carolina
Rawle Marshall,Guyana,Black,2006,2007,G-F,6-9,190,"February 20, 1982",Oakland University
Bill Martin,District of Columbia,Black,1986,1988,F,6-7,205,"August 16, 1962",Georgetown University
Bob Martin,Minisota,Black,1994,1995,C,7-0,250,"October 7, 1969",University of Minnesota
Brian Martin,Arkansas,Black,1986,1986,F,6-9,212,"August 18, 1962",University of Kansas
Cartier Martin,Texas,Black,2009,2015,F,6-7,220,"November 20, 1984",Kansas State University
Cuonzo Martin,Missouri,Black,1996,1997,G-F,6-5,213,"September 23, 1971",Purdue University
Darrick Martin,Colorado,Black,1995,2008,G,5-11,170,"March 6, 1971","University of California, Los Angeles"
Fernando Martin,Spain,White,1987,1987,C,6-9,220,"March 25, 1962",
Jarell Martin,Louisiana,Black,2016,2016,F,6-10,239,"May 24, 1994",Louisiana State University
Jeff Martin,Arkansas,Black,1990,1991,G,6-5,195,"January 14, 1967",Murray State University
Kenyon Martin,Michigan,Black,2001,2015,F,6-9,234,"December 30, 1977",University of Cincinnati
Kevin Martin,Ohio,Black and White,2005,2016,G,6-7,199,"February 1, 1983",Western Carolina University
Maurice Martin,New York,Black,1987,1988,F-G,6-6,200,"July 2, 1964",Saint Joseph's University
Jamal Mashburn,New York,Black,1994,2004,F,6-8,240,"November 29, 1972",University of Kentucky
Anthony Mason,Florida,Black,1990,2003,F,6-7,250,"December 14, 1966",Tennessee State University
Desmond Mason,Texas,Black,2001,2010,F,6-7,224,"October 11, 1977",Oklahoma State University
Roger Mason,District of Columbia,Black,2003,2014,G,6-5,200,"September 10, 1980",University of Virginia
Tony Massenburg,Virginia,Black,1991,2005,F,6-9,220,"July 31, 1967",University of Maryland
Wes Matthews,Florida,Black,1981,1990,G,6-1,170,"August 24, 1959",University of Wisconsin
Wesley Matthews,Texas,Black,2010,2016,G,6-5,220,"October 14, 1986",Marquette University
Marlon Maxey,Illinois,Black,1993,1994,F,6-8,250,"February 19, 1969",University of Texas at El Paso
Jason Maxiell,Illinois,Black,2006,2015,F,6-7,260,"February 18, 1983",University of Cincinnati
Cedric Maxwell,North Carolina,Black,1978,1988,F,6-8,205,"November 21, 1955",University of North Carolina at Charlotte
Vernon Maxwell,Florida,Black,1989,2001,G,6-4,180,"September 12, 1965",University of Florida
Sean May,Illinois,Black,2006,2010,F,6-9,266,"April 4, 1984",University of North Carolina
Lee Mayberry,Oklahoma,Black,1993,1999,G,6-1,172,"June 12, 1970",University of Arkansas
Tharon Mayes,Connecticut,Black,1992,1992,G,6-3,175,"September 9, 1968",Florida State University
Eric Maynor,North Carolina,Black,2010,2014,G,6-3,175,"June 11, 1987",Virginia Commonwealth University
O.J. Mayo,West Virginia,Black,2009,2016,G,6-5,210,"November 5, 1987",University of Southern California
Travis Mays,Florida,Black,1991,1993,G,6-2,190,"June 19, 1968",University of Texas at Austin
Luc Mbah a Moute,Cameroon,Black,2009,2016,F,6-8,230,"September 9, 1986","University of California, Los Angeles"
Bob McAdoo*,North Carolina,Black,1973,1986,C-F,6-9,210,"September 25, 1951",University of North Carolina
James Michael McAdoo,Virginia,Black,2015,2016,F,6-9,230,"January 4, 1993",University of North Carolina
Ray McCallum,Wisconsin,Black,2014,2016,G,6-3,190,"June 12, 1991",University of Detroit Mercy
Bob McCann,New Jersey,Black,1990,1998,F,6-6,244,"April 22, 1964",Morehead State University
Mel McCants,Illinois,Black,1990,1990,F,6-8,240,"August 19, 1967",Purdue University
Rashad McCants,North Carolina,Black,2006,2009,G,6-4,207,"September 25, 1984",University of North Carolina
Kelly McCarty,Illinois,Black,1999,1999,G-F,6-7,200,"August 24, 1975",University of Southern Mississippi
Walter McCarty,Indiana,Black,1997,2006,F,6-10,230,"February 1, 1974",University of Kentucky
Amal McCaskill,Illinois,Black,1997,2004,F-C,6-11,235,"October 28, 1973",Marquette University
Dwayne McClain,Massachusetts,Black,1986,1986,G,6-6,185,"February 7, 1963",Villanova University
Dan McClintock,California,White,2001,2001,C,7-0,270,"April 19, 1977",Northern Arizona University
George McCloud,Florida,Black,1990,2002,G-F,6-6,205,"May 27, 1967",Florida State University
C.J. McCollum,Ohio,Black,2014,2016,G,6-4,200,"September 19, 1991",Lehigh University
T.J. McConnell,Pennsylvania,White,2016,2016,G,6-2,200,"March 25, 1992",University of Arizona
Tim McCormick,Michigan,White,1985,1992,C,6-11,240,"March 10, 1962",University of Michigan
Jelani McCoy,California,Black,1999,2008,C,6-10,245,"December 6, 1977","University of California, Los Angeles"
Chris McCray,Maryland,Black,2007,2007,G,6-5,192,"May 27, 1984",University of Maryland
Rodney McCray,New York,Black,1984,1993,F-G,6-7,220,"August 29, 1961",University of Louisville
Scooter McCray,New York,Black,1984,1987,F-G,6-9,215,"February 8, 1960",University of Louisville
Chris McCullough,New York,Black,2016,2016,F,6-11,200,"February 5, 1995",Syracuse University
Clint McDaniel,Oklahoma,Black,1996,1996,G,6-4,180,"February 26, 1972",University of Arkansas
Xavier McDaniel,South Carolina,Black,1986,1998,F,6-7,205,"June 4, 1963",Wichita State University
K.J. McDaniels,Alabama,Black,2015,2016,G-F,6-6,205,"February 9, 1993",Clemson University
Doug McDermott,North Dakota,White,2015,2016,F,6-8,225,"January 3, 1992",Creighton University
Ben McDonald,California,Black,1986,1989,F,6-8,210,"July 20, 1962","University of California, Irvine"
Michael McDonald,Texas,Black,1998,1998,C,6-10,232,"February 13, 1969",University of New Orleans
Hank McDowell,Tennessee,Black,1982,1987,F-C,6-9,215,"November 13, 1959",University of Memphis
Antonio McDyess,Mississippi,Black,1996,2011,F-C,6-9,220,"September 7, 1974",University of Alabama
Ivan McFarlin,Texas,Black,2007,2007,F,6-8,240,"April 26, 1982",Oklahoma State University
Mitch McGary,Indiana,White,2015,2016,F,6-10,255,"June 6, 1992",University of Michigan
JaVale McGee,Michigan,Black and White,2009,2016,C,7-0,270,"January 19, 1988","University of Nevada, Reno"
Mike McGee,Texas,Black,1982,1990,G-F,6-5,190,"July 29, 1959",University of Michigan
Tracy McGrady,Florida,Black,1998,2012,F-G,6-8,210,"May 24, 1979",
Dominic McGuire,California,Black,2008,2013,F,6-9,220,"October 20, 1985","California State University, Fresno"
Kevin McHale*,Minnesota,White,1981,1993,F-C,6-10,210,"December 19, 1957",University of Minnesota
Jim McIlvaine,Wisconsin,White,1995,2001,C,7-1,240,"July 30, 1972",Marquette University
Jeff McInnis,North Carolina,Black,1997,2008,G,6-4,190,"October 22, 1974",University of North Carolina
Kevin McKenna,Minnesota,White,1982,1988,G-F,6-5,195,"January 8, 1959",Creighton University
Forrest McKenzie,New Jersey,Black,1987,1987,F,6-7,200,"February 16, 1963",Loyola Marymount University
Derrick McKey,Mississippi,Black,1988,2002,F-C,6-9,205,"October 10, 1966",University of Alabama
Aaron McKie,Pennsylvania,Black,1995,2007,G,6-5,209,"October 2, 1972",Temple University
Billy McKinney,Illinois,Black,1979,1986,G,6-0,160,"June 5, 1955",Northwestern University
Carlton McKinney,California,Black,1990,1992,G,6-4,190,"October 21, 1964",Southern Methodist University
Ben McLemore,Missouri,Black,2014,2016,G,6-5,195,"February 11, 1993",University of Kansas
Keith McLeod,Ohio,Black,2004,2007,G,6-2,188,"November 5, 1979",Bowling Green State University
Roshown McLeod,New Jersey,Black,1999,2001,F,6-8,221,"November 17, 1975",Duke University
Nate McMillan,North Carolina,Black,1987,1998,G-F,6-5,195,"August 3, 1964",North Carolina State University
Tom McMillen,New York,White,1976,1986,F-C,6-11,215,"May 26, 1952",University of Maryland
Mark McNamara,California,White,1983,1991,C-F,6-11,235,"June 8, 1959",University of California
Jerel McNeal,Illinois,Black,2015,2015,G,6-3,200,"June 1, 1987",Marquette University
Chris McNealy,California,Black,1986,1988,F,6-7,210,"July 15, 1961",San Jose State University
Paul McPherson,Illinois,Black,2001,2001,G,6-4,210,"July 3, 1978",DePaul University
Cozell McQueen,France,Black,1987,1987,F,6-11,235,"January 18, 1962",North Carolina State University
Jordan McRae,Georgia,Black,2016,2016,G,6-6,185,"March 28, 1991",University of Tennessee
Josh McRoberts,Indiana,White,2008,2016,F,6-10,240,"February 28, 1987",Duke University
Stanislav Medvedenko,Ukraine,White,2001,2007,F,6-10,250,"April 4, 1979",
Darnell Mee,Tennessee,Black,1994,1995,G,6-5,175,"February 11, 1971",Western Kentucky University
Jodie Meeks,Georgia,Black,2010,2016,G,6-4,208,"August 21, 1987",University of Kentucky
Scott Meents,Illinois,Black,1990,1991,F,6-10,225,"January 4, 1964",University of Illinois at Urbana-Champaign
